Title, Iodine
Comment, 
Date, 19/02/2018 14:33:52 
Operator, 
System Name, Undefined
Wavelength(nm),Baseline,Wavelength(nm),iodine_sample,
507.65,0.00624,507.65,0.20396
507.7,0.00624,507.7,0.20351
507.75,0.00623,507.75,0.20363
507.8,0.00622,507.8,0.20403
507.85,0.00622,507.85,0.20488
507.9,0.00621,507.9,0.20578
507.95,0.00621,507.95,0.20686
508,0.0062,508,0.20842
508.05,0.00619,508.05,0.20964
508.1,0.00619,508.1,0.21028
508.15,0.00618,508.15,0.21061
508.2,0.00617,508.2,0.21068
508.25,0.00617,508.25,0.21048
508.3,0.00616,508.3,0.20972
508.35,0.00616,508.35,0.20854
508.4,0.00615,508.4,0.20736
508.45,0.00614,508.45,0.20646
508.5,0.00614,508.5,0.20502
508.55,0.00613,508.55,0.20411
508.6,0.00612,508.6,0.20376
508.65,0.00612,508.65,0.20325
508.7,0.00611,508.7,0.20376
508.75,0.0061,508.75,0.20422
508.8,0.0061,508.8,0.2053
508.85,0.00609,508.85,0.20694
508.9,0.00608,508.9,0.20817
508.95,0.00607,508.95,0.20939
509,0.00606,509,0.21099
509.05,0.00606,509.05,0.21171
509.1,0.00605,509.1,0.21193
509.15,0.00604,509.15,0.21194
509.2,0.00603,509.2,0.21144
509.25,0.00602,509.25,0.2108
509.3,0.00602,509.3,0.20988
509.35,0.00601,509.35,0.20867
509.4,0.00601,509.4,0.20747
509.45,0.00601,509.45,0.20691
509.5,0.006,509.5,0.20552
509.55,0.006,509.55,0.20464
509.6,0.006,509.6,0.20426
509.65,0.006,509.65,0.20403
509.7,0.00599,509.7,0.20414
509.75,0.00599,509.75,0.20457
509.8,0.00599,509.8,0.20522
509.85,0.00599,509.85,0.20669
509.9,0.00598,509.9,0.20796
509.95,0.00598,509.95,0.20923
510,0.00598,510,0.21113
510.05,0.00597,510.05,0.21242
510.1,0.00596,510.1,0.213
510.15,0.00596,510.15,0.21322
510.2,0.00595,510.2,0.21311
510.25,0.00595,510.25,0.21261
510.3,0.00594,510.3,0.21199
510.35,0.00593,510.35,0.2106
510.4,0.00593,510.4,0.20904
510.45,0.00592,510.45,0.20824
510.5,0.00592,510.5,0.20685
510.55,0.00591,510.55,0.20539
510.6,0.0059,510.6,0.20444
510.65,0.0059,510.65,0.20367
510.7,0.0059,510.7,0.20292
510.75,0.00589,510.75,0.20294
510.8,0.00589,510.8,0.20321
510.85,0.00588,510.85,0.20473
510.9,0.00588,510.9,0.20634
510.95,0.00587,510.95,0.20775
511,0.00587,511,0.21003
511.05,0.00587,511.05,0.21247
511.1,0.00586,511.1,0.21381
511.15,0.00586,511.15,0.21479
511.2,0.00585,511.2,0.21534
511.25,0.00585,511.25,0.21533
511.3,0.00584,511.3,0.21486
511.35,0.00584,511.35,0.21381
511.4,0.00583,511.4,0.21213
511.45,0.00582,511.45,0.21091
511.5,0.00582,511.5,0.20949
511.55,0.00581,511.55,0.20813
511.6,0.0058,511.6,0.20728
511.65,0.0058,511.65,0.20606
511.7,0.00579,511.7,0.20475
511.75,0.00579,511.75,0.20379
511.8,0.00578,511.8,0.20334
511.85,0.00577,511.85,0.20323
511.9,0.00577,511.9,0.20385
511.95,0.00577,511.95,0.20465
512,0.00576,512,0.20579
512.05,0.00576,512.05,0.20794
512.1,0.00575,512.1,0.21001
512.15,0.00575,512.15,0.21148
512.2,0.00575,512.2,0.2135
512.25,0.00574,512.25,0.21498
512.3,0.00574,512.3,0.21557
512.35,0.00573,512.35,0.21605
512.4,0.00573,512.4,0.21546
512.45,0.00573,512.45,0.21517
512.5,0.00572,512.5,0.21413
512.55,0.00571,512.55,0.21261
512.6,0.0057,512.6,0.21177
512.65,0.00569,512.65,0.21086
512.7,0.00568,512.7,0.20933
512.75,0.00567,512.75,0.20814
512.8,0.00566,512.8,0.20714
512.85,0.00565,512.85,0.20597
512.9,0.00564,512.9,0.20439
512.95,0.00564,512.95,0.20363
513,0.00563,513,0.20299
513.05,0.00562,513.05,0.20254
513.1,0.00561,513.1,0.2029
513.15,0.0056,513.15,0.20339
513.2,0.0056,513.2,0.20516
513.25,0.0056,513.25,0.20709
513.3,0.0056,513.3,0.20878
513.35,0.0056,513.35,0.21136
513.4,0.0056,513.4,0.21392
513.45,0.0056,513.45,0.21546
513.5,0.0056,513.5,0.21655
513.55,0.0056,513.55,0.21739
513.6,0.0056,513.6,0.21754
513.65,0.0056,513.65,0.21717
513.7,0.0056,513.7,0.21616
513.75,0.0056,513.75,0.2148
513.8,0.00559,513.8,0.21384
513.85,0.00558,513.85,0.21259
513.9,0.00557,513.9,0.2109
513.95,0.00556,513.95,0.20959
514,0.00554,514,0.20851
514.05,0.00553,514.05,0.20684
514.1,0.00552,514.1,0.20548
